day,year,mo,da,date,Crimes_This_Day,primary_type,location_description,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog
4,2019,01,24,2019-01-24,2,ASSAULT,HOSPITAL BUILDING/GROUNDS,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,2,BATTERY,OTHER,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,LIQUOR LAW VIOLATION,BAR OR TAVERN,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,2,OTHER OFFENSE,OTHER,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,3,SEX OFFENSE,"SCHOOL, PUBLIC, BUILDING",17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,OTHER OFFENSE,SIDEWALK,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,CRIMINAL TRESPASS,CONVENIENCE STORE,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,THEFT,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,7,WEAPONS VIOLATION,STREET,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,BATTERY,VEHICLE NON-COMMERCIAL,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,ASSAULT,GAS STATION,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,WEAPONS VIOLATION,"SCHOOL, PUBLIC, BUILDING",17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,DECEPTIVE PRACTICE,DEPARTMENT STORE,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,2,DECEPTIVE PRACTICE,CONVENIENCE STORE,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,2,THEFT,DRUG STORE,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,NARCOTICS,CTA PLATFORM,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,THEFT,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,2,ASSAULT,RESTAURANT,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,3,NARCOTICS,RESIDENCE,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,ROBBERY,VEHICLE NON-COMMERCIAL,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,2,ASSAULT,CTA TRAIN,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,2,WEAPONS VIOLATION,SIDEWALK,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,DECEPTIVE PRACTICE,STREET,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,2,CRIMINAL TRESPASS,RESIDENCE,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,15,CRIMINAL DAMAGE,STREET,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,6,THEFT,VEHICLE NON-COMMERCIAL,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,CRIMINAL DAMAGE,RESIDENTIAL YARD (FRONT/BACK),17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,2,CRIMINAL TRESPASS,APARTMENT,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,2,WEAPONS VIOLATION,VEHICLE NON-COMMERCIAL,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,2,DECEPTIVE PRACTICE,SIDEWALK,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,THEFT,TAVERN/LIQUOR STORE,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,10,DECEPTIVE PRACTICE,RESIDENCE,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,9,BATTERY,STREET,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,3,THEFT,CTA TRAIN,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,8,ASSAULT,APARTMENT,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,BURGLARY,ATHLETIC CLUB,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,BURGLARY,TAVERN/LIQUOR STORE,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,BURGLARY,NURSING HOME/RETIREMENT HOME,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,8,BATTERY,SIDEWALK,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,CRIMINAL TRESPASS,CTA PLATFORM,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,3,ASSAULT,OTHER,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,CRIM SEXUAL ASSAULT,APARTMENT,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,SEX OFFENSE,SIDEWALK,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,6,THEFT,SIDEWALK,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,2,CRIMINAL TRESPASS,GROCERY FOOD STORE,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,CRIMINAL TRESPASS,PARKING LOT/GARAGE(NON.RESID.),17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,5,OFFENSE INVOLVING CHILDREN,RESIDENCE,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,BURGLARY,"SCHOOL, PUBLIC, BUILDING",17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,OTHER OFFENSE,CHA PARKING LOT/GROUNDS,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,6,THEFT,OTHER,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,2,MOTOR VEHICLE THEFT,GAS STATION,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,THEFT,AUTO / BOAT / RV DEALERSHIP,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,7,DECEPTIVE PRACTICE,OTHER,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,PUBLIC PEACE VIOLATION,STREET,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,12,THEFT,RESIDENCE,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,5,DECEPTIVE PRACTICE,APARTMENT,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,OFFENSE INVOLVING CHILDREN,POLICE FACILITY/VEH PARKING LOT,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,CRIM SEXUAL ASSAULT,OTHER,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,2,NARCOTICS,VEHICLE NON-COMMERCIAL,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,CRIMINAL DAMAGE,FIRE STATION,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,39,BATTERY,APARTMENT,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,5,DECEPTIVE PRACTICE,SMALL RETAIL STORE,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,BATTERY,SMALL RETAIL STORE,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,ROBBERY,SMALL RETAIL STORE,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,PUBLIC PEACE VIOLATION,DEPARTMENT STORE,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,CRIMINAL TRESPASS,DEPARTMENT STORE,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,7,BURGLARY,APARTMENT,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,4,ROBBERY,SIDEWALK,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,6,THEFT,CONVENIENCE STORE,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,ASSAULT,"SCHOOL, PRIVATE, BUILDING",17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,CRIMINAL SEXUAL ASSAULT,POLICE FACILITY / VEHICLE PARKING LOT,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,BATTERY,POLICE FACILITY/VEH PARKING LOT,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,7,OTHER OFFENSE,STREET,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,15,OTHER OFFENSE,RESIDENCE,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,3,NARCOTICS,PARKING LOT/GARAGE(NON.RESID.),17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,BATTERY,BAR OR TAVERN,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,NARCOTICS,POLICE FACILITY/VEH PARKING LOT,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,2,BATTERY,ALLEY,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,2,CRIMINAL DAMAGE,PARKING LOT/GARAGE(NON.RESID.),17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,2,ASSAULT,SMALL RETAIL STORE,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,CRIMINAL DAMAGE,ALLEY,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,CRIMINAL DAMAGE,CTA TRAIN,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,THEFT,COIN OPERATED MACHINE,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,32,THEFT,STREET,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,NARCOTICS,COLLEGE/UNIVERSITY RESIDENCE HALL,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,CRIMINAL DAMAGE,RESIDENCE-GARAGE,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,OFFENSE INVOLVING CHILDREN,SIDEWALK,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,CRIMINAL DAMAGE,WAREHOUSE,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,7,THEFT,RESTAURANT,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,OTHER OFFENSE,HOTEL/MOTEL,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,2,THEFT,COLLEGE/UNIVERSITY GROUNDS,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,CRIMINAL DAMAGE,BARBERSHOP,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,CRIMINAL TRESPASS,OTHER,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,ROBBERY,DEPARTMENT STORE,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,2,CRIMINAL DAMAGE,CTA BUS STOP,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,ASSAULT,CHA PARKING LOT/GROUNDS,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,4,ASSAULT,RESIDENCE,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,5,THEFT,DEPARTMENT STORE,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,NARCOTICS,ALLEY,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,THEFT,CONSTRUCTION SITE,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,DECEPTIVE PRACTICE,BANK,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,THEFT,BAR OR TAVERN,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,ASSAULT,NEWSSTAND,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,2,DECEPTIVE PRACTICE,GROCERY FOOD STORE,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,2,NARCOTICS,RESTAURANT,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,2,CRIMINAL DAMAGE,SIDEWALK,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,MOTOR VEHICLE THEFT,HOTEL/MOTEL,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,THEFT,"SCHOOL, PUBLIC, BUILDING",17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,5,THEFT,SMALL RETAIL STORE,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,2,DECEPTIVE PRACTICE,,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,4,ASSAULT,STREET,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,THEFT,SPORTS ARENA/STADIUM,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,ASSAULT,"SCHOOL, PUBLIC, BUILDING",17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,8,CRIMINAL DAMAGE,APARTMENT,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,ASSAULT,WAREHOUSE,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,ROBBERY,"SCHOOL, PUBLIC, GROUNDS",17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,KIDNAPPING,STREET,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,ASSAULT,VEHICLE-COMMERCIAL,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,CRIMINAL DAMAGE,"SCHOOL, PRIVATE, BUILDING",17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,NARCOTICS,OTHER RAILROAD PROP / TRAIN DEPOT,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,ARSON,RESIDENCE,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,THEFT,ATHLETIC CLUB,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,BURGLARY,OTHER,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,PUBLIC PEACE VIOLATION,CTA PLATFORM,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,SEX OFFENSE,RESIDENCE,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,2,MOTOR VEHICLE THEFT,PARKING LOT/GARAGE(NON.RESID.),17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,CRIM SEXUAL ASSAULT,CHA APARTMENT,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
4,2019,01,24,2019-01-24,1,ASSAULT,RESIDENCE PORCH/HALLWAY,17.9,12.7,1012.5,6.8,9.1,18.1,28.9,23.0,10.9,0.07,3.9,0
